,User ID,Start Date,Start Time,End Date,End Time,Click Path,First Page,Last Page,Duration,Clicks
8,9,03/07/2018,23:41:00,03/07/2018,23:42:00,"['Directional Assistance', 'Service Selection', 'Boarding Pass', 'Travel Type Selection', 'Language Selection', 'Travel Type Selection', 'Airline Selection']",Directional Assistance,Airline Selection,00:01:00,13
9,10,03/07/2018,23:13:00,03/07/2018,23:18:00,"['Information Entry', 'Airline Selection', 'Service Selection']",Information Entry,Service Selection,00:05:00,76
10,11,03/07/2018,22:29:00,03/07/2018,22:36:00,"['Boarding Pass', 'Directional Assistance', 'Language Selection']",Boarding Pass,Language Selection,00:07:00,43
11,12,03/07/2018,21:38:00,03/07/2018,21:40:00,"['Boarding Pass', 'Language Selection', 'Baggage Information and Restrictions', 'Travel Type Selection', 'Travel Type Selection']",Boarding Pass,Travel Type Selection,00:02:00,45
12,13,03/07/2018,21:24:00,03/07/2018,21:31:00,"['Baggage Information and Restrictions', 'Service Selection', 'Service Selection', 'Airline Selection', 'Boarding Pass', 'Information Entry']",Baggage Information and Restrictions,Information Entry,00:07:00,44
13,14,03/07/2018,20:53:00,03/07/2018,20:58:00,['Language Selection'],Language Selection,Language Selection,00:05:00,17
14,15,03/07/2018,19:54:00,03/07/2018,19:56:00,"['Service Selection', 'Travel Type Selection', 'Boarding Pass']",Service Selection,Boarding Pass,00:02:00,42
15,16,03/07/2018,19:09:00,03/07/2018,19:16:00,"['Directional Assistance', 'Directional Assistance', 'Boarding Pass']",Directional Assistance,Boarding Pass,00:07:00,37
16,17,03/07/2018,18:54:00,03/07/2018,18:59:00,"['Travel Type Selection', 'Information Entry', 'Airline Selection', 'Language Selection', 'Boarding Pass']",Travel Type Selection,Boarding Pass,00:05:00,62
17,18,03/07/2018,18:51:00,03/07/2018,18:55:00,['Information Entry'],Information Entry,Information Entry,00:04:00,19
18,19,03/07/2018,18:00:00,03/07/2018,18:09:00,"['Travel Type Selection', 'Information Entry', 'Travel Type Selection', 'Boarding Pass', 'Directional Assistance', 'Airline Selection']",Travel Type Selection,Airline Selection,00:09:00,4
19,20,03/07/2018,18:00:00,03/07/2018,18:02:00,"['Language Selection', 'Travel Type Selection', 'Airline Selection', 'Language Selection', 'Language Selection', 'Travel Type Selection', 'Airline Selection']",Language Selection,Airline Selection,00:02:00,27
